stop_id;stop_code;stop_name;stop_lat;stop_lon;zone_id;alias;stop_area;stop_desc;lest_x;lest_y;zone_name;authority
153703;7820375-1;Eesti Rahva Muuseum;58.39555323;26.74266241;153703;;Tartu linn;;6476069.00;660335.43;;Tartu LV
24878;7820089-1;Kesklinn III;58.37750265;26.72853876;24878;;Tartu linn;"Kvartali ees Turu tn poolne";6474026.54;659591.98;TartuLinn;Tartu LV
25339;7820121-1;Lai;58.38329654;26.71874713;25339;;Tartu linn;;6474648.07;658993.44;TartuLinn;Tartu LV
25351;7820070-1;Visa hall;58.3788886;26.68402743;25351;;Tartu linn;"Tartu Maja suunas";6474075.74;656983.74;TartuLinn;Tartu LV
25477;7820076-1;Kasarmu;58.38685141;26.73622575;25477;;Tartu linn;"Sõpruse pst. suunas";6475085.24;659998.88;TartuLinn;Tartu LV
161814;7820394-1;Tüve;58.38488598;26.75695053;161814;;Tartu linn;"linnast väljuv";6474916.14;661219.06;;Tartu LV
161815;7820395-1;Tüve;58.38498122;26.75684557;161815;;Tartu linn;"linna sisenev";6474926.49;661212.49;;Tartu LV
20275;7800998-1;Tüki;58.38844329;26.5809322;20275;;Tartu linn;"Ilmatsalu suunas";6474902.50;650916.00;;Tartu LV
25941;7820253-1;Sõbra;58.36449633;26.73501272;25941;;Tartu linn;"";6472594.55;660029.48;TartuLinn;Tartu LV
26246;7820191-1;Põllu;58.39840795;26.70984368;26246;;Tartu linn;"Narva mnt. suunas";6476308.71;658405.07;TartuLinn;Tartu LV
25945;7820244-1;Soinaste III;58.36356625;26.69877895;25945;;Tartu linn;"Raudtee tn. suunas";6472405.17;657914.71;TartuLinn;Tartu LV
25949;7820255-1;Sõpruse puiestee;58.38070973;26.75491693;25949;;Tartu linn;"Kaunase pst. suunas";6474446.50;661119.31;TartuLinn;Tartu LV
25950;7820257-1;Sõpruse puiestee;58.38116812;26.75303178;25950;;Tartu linn;"Puiestee tn. suunas";6474492.99;661007.02;TartuLinn;Tartu LV
25951;7820250-1;Suur kaar;58.35774316;26.71396835;25951;;Tartu linn;"Kesk kaar tn. suunas";6471793.00;658829.25;TartuLinn;Tartu LV
25959;7820251-1;Suur kaar;58.35767356;26.71364991;25959;;Tartu linn;"Aardla tn. suunas";6471784.50;658810.93;TartuLinn;Tartu LV
25962;7820261-1;Tamme kool;58.36357694;26.7070653;25962;;Tartu linn;"Raudtee tn. suunas";6472425.90;658399.26;TartuLinn;Tartu LV
25471;7820136-1;Lõkketule;58.34604336;26.78273368;25471;;Tartu linn;"Hipodroomi tn. suunas";6470655.90;662905.35;TartuLinn;Tartu LV
26071;7820044-1;Jannseni;58.38119426;26.69496829;26071;;Tartu linn;"Raudteejaama suunas";6474358.00;657613.00;TartuLinn;Tartu LV
