stop_id;stop_name;latitude;longitude
33517;Tref;58.36125669;26.74040249
20025;Kvissentali tee;58.40633743;26.70826104
128917;Kesklinn IV;58.37758856;26.72790904
20337;Rahinge;58.38148438;26.62019568
20336;Rahinge;58.38172428;26.61965788
20180;Rahinge kool;58.38579029;26.60999374
28075;Soomeküla;58.44442497;26.62067402
26954;Tamme;58.43238213;26.55579184
24879;Linnamuuseum;58.38253159;26.72806885
24871;Kesklinn V;58.37745946;26.72763631
26527;Mõisavahe;58.36951149;26.77530961
26379;Rahumäe;58.37863342;26.77050604
29138;Vanaaseme tee;58.41062316;26.60755167
24881;Kloostri;58.38407818;26.71649249
26247;Põllu;58.39872669;26.71043364
25948;Männi;58.38057943;26.75346982
26671;Narvamäe;58.38907343;26.73021884
25942;Karlova kool;58.37173569;26.73294975
26381;Raja;58.36135764;26.69003217
26234;Palmihoone;58.38518468;26.72287068
23446;Vanaaseme tee;58.41080318;26.60700354
26088;Puusepa;58.36669767;26.70364614
159869;Päevakivi;58.34858683;26.68801772
26503;Vorbuse tee;58.40106572;26.68282065
26525;Meltsiveski;58.38689879;26.72445476
26393;Rebase;58.36921745;26.74172752
24721;Fi;58.35338124;26.6810383
159868;Päevakivi;58.34755634;26.68672229
24722;FI;58.35349102;26.68084579
26226;Teaduspark;58.35505258;26.67956993
24896;Lemmatsi;58.35923798;26.70286689
26212;Kannikese;58.37700305;26.68379681
26242;Piiri;58.38851666;26.70827802
26396;Riia ring;58.35872329;26.68492228
25810;Vallikraavi;58.3765878;26.71491966
26124;Alevi;58.36201853;26.73063502
136287;Roosi;58.38978666;26.73932942
128370;Ringtee;58.34151158;26.71610809
26526;Mesika;58.35013089;26.70762625
128371;Ringtee I;58.34170221;26.71484949
149241;Ropka tee;58.35590574;26.7408544
26514;Salvest;58.39852299;26.70901097
26109;Tartu Maja I;58.38273082;26.68341474
26519;Sepa turg;58.34939038;26.74085965
20040;Kivisäki;58.42625984;26.65037554
123049;Hiie;58.38316976;26.69673413
140382;Roheline park;58.39670523;26.68515015
116720;Kopli;58.3485892;26.70989119
25943;Soinaste II;58.36389419;26.69743305
116721;Mesika;58.35016089;26.70712041
25960;Zoomeedikum;58.39311653;26.6873756
26093;Tamme puiestee;58.35414165;26.69607678
26085;Kaare;58.36614066;26.70310893
149230;Palmihoone;58.38407261;26.72214444
131462;Kesklinn;58.37720705;26.72784468
25337;Käo;58.35773524;26.70397272
26523;Maarjamõisa haigla;58.36998229;26.69805577
144379;Sinepi;58.40265634;26.71636688
28721;Kvissentali tee;58.40640005;26.70848931
122522;Liiva;58.39095076;26.72511597
144123;Kummeli;58.4012616;26.72106316
26672;Nõlvaku;58.37275827;26.78054175
144830;Lille;58.3736677;26.72490047
144828;Linda;58.36710241;26.72971696
144442;Linnupargi;58.3666717;26.76129895
144441;Linnupargi;58.36631654;26.76258641
125531;Lõunakeskus III;58.35891162;26.67243857
144382;Melissi;58.40191838;26.72135155
133805;Paju;58.38261156;26.74577777
26235;Palmihoone;58.3836047;26.72339269
26245;Polikliiniku;58.36833346;26.70338666
144381;Melissi;58.40184107;26.72221089
26229;Maarjamõisa haigla;58.36936733;26.69824015
20422;Kärnise;58.45215421;26.57054622
136288;Roosi;58.3892422;26.73840283
144470;Herne;58.38627464;26.71402485
144467;Kaubabaas;58.38545524;26.68055015
25022;Kruusamäe;58.39820755;26.7245813
144468;Laululava;58.38900626;26.70495235
144469;Piiri;58.38825896;26.70885743
26846;Aardla;58.35470082;26.72279026
144465;Puidu;58.3911417;26.68008948
144466;Puidu;58.39093648;26.67946108
128376;Turu ring;58.34306297;26.73696764
26091;Kabeli;58.35917116;26.72136773
128367;Postimaja;58.34525094;26.71488112
26507;Risti;58.3920868;26.72167493
26679;Nurme;58.39330651;26.71804316
25350;Karete;58.34913295;26.72340804
24728;Kastani;58.36571667;26.72151128
25598;Lootuse;58.36942282;26.72152375
25473;Lootuse;58.37078404;26.72155998
26398;Riiamäe;58.37296117;26.72287072
128377;Turu ring;58.34280788;26.73818363
26260;Vene;58.38578652;26.72639415
26238;Peetri kirik;58.3899214;26.7278263
125616;FI;58.35335497;26.68075748
25944;Soinaste I;58.36437354;26.69919726
135329;Viadukti;58.35470981;26.76270419
